Manufacturer,Model,Month,Year,Km,Kw,Ps,Price,state,engine,Benz
BMW90,"""i8""",9,2014,37300,266,362,78787,0,1,no
BMW91,"""530i""",8,2017,500,185,252,67950,0,1,no
BMW92,"""X5""",5,2017,23792,190,258,66580,0,0,no
BMW93,"""M4""",3,2017,11457,317,431,67950,0,1,no
BMW94,"""430""",NA,2018,0,190,258,62990,1,0,no
BMW95,"""640i""",11,2017,10,250,340,82990,1,1,no
BMW96,"""520d""",NA,2018,0,140,190,65460,1,0,no
BMW97,"""530d""",2,2017,11900,195,265,64490,0,0,no
BMW98,"""730d""",6,2017,3866,195,265,70803,0,0,no
BMW99,"""750""",10,2017,8000,330,449,110914,0,1,no
BMW100,"""M240i""",NA,2018,0,250,340,67632,1,1,no
BMW101,"""i8""",6,2017,19348,266,362,94973,0,1,no
BMW102,"""X6""",10,2017,4629,280,381,76699,0,1,no
BMW103,"""750Li""",2,2017,7500,330,449,109000,0,1,no
BMW104,"""430i""",NA,2018,0,185,252,65870,1,1,no
